Station_name,Lat,Lon,Elev,YY,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Rainfall
Omauni ADC,-17.54,17.72,1148,2021,230,152,95.6,5,11,0,0,0,0,0,26,26,
Rundu Airport_manual,-17.96,19.73,1103,2021,265.5,210,49.2,0,1.5,0,0,0,0,10.5,18.6,53,
Kaisosi ADC,-17.9,19.81,,2021,294,64,0,0,0,0,0,0,0,25.5,42.7,0.2,
Ndiyona ADC,-18.04,20.7,,2021,349.8,210.4,71.3,0,0,0,0,,0,13.7,73.8,92.8,
Mukwe ADC,-18.04,21.43,,2021,,,,,0,0,0,0,0,36,70,55.5,
Onesi ADC,-17.59,14.68,1112,2021,105,0,89.9,0,0,0,0,0,0,0,27,15,
Tsandi ADC,-17.74,14.88,1110,2021,141.5,0,111.9,17,18,0,0,0,0,0,26,19,
Outapi ADC,-17.51,14.99,1115,2021,125,42,198,0,0,0,0,0,0,0,41.7,16.5,
Etayi ADC,-17.55,15.53,1101,2021,65,,,,0,0,0,0,0,0,32.5,0,
Ompundja ADC,-17.91,15.7,1087,2021,48,,,,0,0,0,0,0,,,,
Enguwantale ADC,-17.99,15.69,1097,2021,,26.8,196.3,12,4.8,0,0,0,0,0,21.8,86,
Endola ADC,-17.61,15.74,,2021,78,23,150,0,0,0,0,0,0,0,16,,
Ongwediva ADC,-17.79,15.77,1099,2021,,59.8,239.5,1.7,12,0,0,0,0,0,41.1,76.5,
Okaku ADC,-17.82,15.93,,2021,,32.3,186.5,0,21,0,0,0,0,0,19.8,,
Ondangwa_Manual,-17.88,15.95,1103,2021,57.7,80.8,81,2.6,38,0,0,0,0,1,11.9,46.6,
Ondangwa ADC,-17.92,15.98,,2021,57.7,,212.1,,,,,,,,,,
Ondobe ADC,-17.52,16.05,,2021,125.5,36.5,286,6,35,0,0,0,0,,,,
Oshigambo ADC,-17.79,16.07,1107,2021,,34,174.7,31.1,9.3,0,0,0,0,0,30.2,109.5,
Mpungu ADC,-17.67,18.23,,2021,242.8,191.5,0,0,0,0,0,0,0,11,68,166,
Kahenge ADC,-17.68,18.66,,2021,197.1,123,41.5,0,3,0,0,0,2.5,11.5,47,61,
Rupara ADC,-17.84,19.05,1085,2021,172,234.5,59,0,17,0,0,0,0,21,23,31,
Rundu ADC,-17.91,19.77,1104,2021,,,,,0,0,0,0,0,10.5,60.5,88,
Mashare ADC,-17.9,20.21,1071,2021,313.3,287.8,52,0,0,0,0,0,0,21,47.7,67,
Ndonga-Linena ADC,-17.98,20.52,,2021,287,214,80,0,0,0,0,0,0,14,42,133,
Kongola ADC,-17.82,23.4,,2021,,205.1,14.6,0,0,0,0,0,0,10.3,46.3,111,
Sachona ADC,-17.97,23.45,963,2021,175.8,205.5,45.9,0.2,0,0,0,0,0,0,7.3,105.2,
Sibbinda ADC,-17.78,23.82,956,2021,126.7,117.8,0,0,0,0,0,0,0,0,49,129.4,
Kasheshe ADC,-17.66,24.14,,2021,,197,27,10,0,0,0,0,0,7,21,60,
Bukalo ADC,-17.71,24.53,,2021,86.4,196,0,0,0,0,0,0,0,3.6,59.2,75.4,
Chichimane ADC,-17.98,24.12,,2021,224.5,106.7,0,0,25,0,0,0,0,0,20.2,93.5,
Ngoma ADC,-17.92,24.71,,2021,222.6,306.6,3.5,3.5,0,0,0,0,0,0,77,110.5,
Okangwati ADC,-17.44,13.27,1085,2021,0.7,5.6,0.5,0,0,0,0,0,0,0,0,2.1,
Oshifo ADC,-17.44,14.43,1138,2021,,,99.5,30,20,0,0,0,0,0,33,0,
Onawa ADC,-17.46,15.09,1105,2021,,28.6,222,7,6.4,0,0,0,0,0,33,25.5,
Ongenga ADC,-17.45,15.67,1102,2021,,4.5,23.7,3.1,0,0,0,0,0,0,63,32,
Okalongo ADC,-17.44,15.33,1102,2021,157.5,7,159.6,,0,0,0,0,0,0,35,35.4,
Omafo ADC,-17.45,15.89,,2021,,,90.6,0,0,0,0,0,0,0,51.4,36.6,
Eenhana ADC,-17.48,16.33,,2021,,,90,0,63,0,0,0,0,0,0,51.4,
Katima Mulilo Airport_Manual,-17.63,24.18,960,2021,110.4,180,6.4,4.4,0.2,0,0,0,0,13.6,87,69.9,
Bondels RG,-28.09,18.69,967,2022,54,22,22,0,0,0,0,0,0.2,12.8,6.2,0,
Karasburg ADC,-28.02,18.75,,2022,127.3,50.5,74.4,0,0.7,0,0,0,0,7.4,8.8,2.6,
Ariamsvlei,-28.12,19.84,,2022,71.5,50.5,35,18,0,0,0,0,0,0,5.5,20.1,
Snyrivier N (Nimmerrust),-27.47,19.61,,2022,13.5,57.7,67,20.5,3.5,58,0,0,0,12.5,9.2,37.5,
Naos (Kharas),-27.21,18.97,,2022,130,80,44.1,18,3,3,0,0,0,23,6,0,
Keetmanshoopt_Manual,-26.54,18.11,,2022,149.3,48.6,293,24,1.4,0,0,14.9,0,12.8,21,10.5,
Keetmanshoop Airport AWS,-26.53,18.12,1066,2022,,,,,1.4,0,0,0,,,,,
Aroab ADC,-26.8,19.65,963,2022,77.6,7.2,73.6,22.5,0,0,0,0,0,0,2.4,56.5,
Louwsvley,-26.97,19.8,,2022,54,76,40,27,0,50,0,16,,,,,
Bethanien ADC,-26.5,17.15,1004,2022,58.4,195.5,30.3,0,0,0,0,0,0,11,4.7,0,
Aruab,-25.72,16.55,1610,2022,99,61.7,79.7,0,0,8,0.3,0.2,0,0,16.9,0.1,
Tses ADC,-25.88,18.12,972,2022,65.5,88.5,21.2,3,3,0,0,11,0,6,2,0,
Gibeon ADC,-25.13,17.78,1049,2022,93.5,105.8,70.5,0,0,0,0,0,0,9,1.3,10.4,
Eindpaal,-25.38,19.1,,2022,127,132.5,,19,,,,,,,47.5,20,
Maltahohe ADC,-24.85,16.98,1347,2022,120.5,94.4,24,0,0,0,0,0,0,2.5,9,0,
Mariental ADC,-24.62,17.97,1108,2022,156.5,102,61,0,0,0,0,0,0,3,18.5,30.8,
Gochas ADC,-24.86,18.81,1132,2022,45.5,167.7,36.3,24.5,0,0,0,0,0,36.8,27.7,18.7,
Aranos ADC,-24.14,19.12,1160,2022,107.4,126.9,75.9,22.5,0,4,0,1.1,0,0,13,28,
Bitterwasser,-23.87,17.95,,2022,2.9,38.6,4.4,0,5.4,0,0,0,0,0,0,0,
Hoachanas ADC,-23.92,18.05,1262,2022,84,153,23.7,0,0,0,0,0,0,0,0,53,
Gomnab,-23.68,18.27,,2022,248.6,102.1,28.2,,,,,,,,,,
Gomchanas Ost,-23.9,18.28,1256,2022,157.9,105.7,33.4,9.2,0,0.1,0.1,0,0.1,16.5,20.9,15.5,
Olifantwater,-23.67,18.39,,2022,204.5,71.4,54.7,2.5,0,0,0,0.2,0.1,4.6,30.3,14.3,
Coridor13 ADC,-23.5,19.89,1277,2022,72.8,92.5,60,18,0,0,0,0,0,6.9,39,90,
Maltahohe AWS,-24.84,16.98,1354,2022,120.5,,,,,,,,,,,,
Rehoboth ADC,-23.32,17.09,1377,2022,157,97.1,31.5,0,0,0,0,0,0,26,2,6,
Walvis Bay_Manual,-22.98,14.65,91,2022,9.4,0.2,0,0.2,0,0,0,0,0,0.2,0.8,0,
Otjimbingwe ADC,-22.36,16.13,922,2022,48.6,160.6,33,0,0,0,0,0,0,0,5.5,10,
Terra Rossa,-22.78,16.37,,2022,,,,0,0,,,,,,,,
Aandrus,-22.65,16.45,,2022,83.5,,,0,0,0,0,0,0,8,,,
Hochfels second,-22.57,16.78,,2022,16.1,35.4,4.9,0,0,0,0,0,0,1.7,2.5,2.5,
Osona Village,-22.08,16.94,1320,2022,116.4,,,0,0,0,0,0,0,15.9,0,33.1,
Aigams RG,-22.53,17.08,1635,2022,,,,,,,,,,24.2,0,121.2,
Eros_Manual,-22.61,17.08,,2022,26.2,,,3.3,0,0,0,0,0,5.1,16.8,84.9,
Pioniers Park,-22.6,17.07,,2022,109.6,165.5,35.3,1.6,0,0,0,0,0,22,15.4,97.6,
Windhoek_Manual,-22.57,17.09,1721,2022,122.9,148.6,62.6,1,0,0,0,0,0,59.6,14.6,163.3,
Klein Windhoek Mission,-22.58,17.12,,2022,,97.5,68.5,0,0,0,0,0,0,38,0.7,136,
Binsenheim,-22.78,17.38,,2022,176.5,150,81,1,0,0,0,0,0,14,24.5,29.5,
Bitterwater,-22.83,17.78,,2022,205,127,100,,0,0,0,0,0,12,2,12,
Gobabis ADC,-22.45,18.96,1443,2022,120.6,,,,,,,,,,,,
Spitzkoppe ADC,-21.85,15.21,1044,2022,0,166.9,14.2,0,0,0,0,0,0,0,14.5,,
Tubusis ADC,-21.58,15.45,1164,2022,18.6,110.5,0,0,0,0,0,0,0,0,19.5,0,
Westfalenhof,-22.26,16.42,,2022,63.9,63.2,23,0,0,0,0,0,0,25,5,34,
Swakop Poort RG,-22.21,16.53,1169,2022,,,,,,,,,,10.6,5.2,21.4,
Otjiseva,-22.3,16.93,,2022,112.8,135.1,31.5,3,0,0,0,0,0,27.5,8.5,46.9,
Okahandja ADC,-21.98,16.92,1342,2022,88.8,,,,,,,,,,,161,
Sonleitten,-22.5,17.4,,2022,148,223,35,0,0,0,0,0,0,14,5,30,
Okahua,-22.16,17.78,1656,2022,255.4,101.3,67.5,2,0,0,0,0,0,52,5.8,51.5,
Omateva,-22.26,18.15,,2022,115,111.5,53.3,42,0,0,0,0,0,43.5,1.6,31,
Epukiro ADC,-21.6,19.41,1382,2022,185.7,62.5,141,24,0,0,0,0,0,50,36,80.5,
Talismanus ADC,-21.84,20.75,1232,2022,28,80.5,115,35,0,0,0,0,0,146,116,28,
Uis ADC,-21.23,14.9,919,2022,63.5,79.1,43.6,0,0,0,0,0,0,0,4,26,
Okombahe ADC,-21.36,15.37,945,2022,0,123.5,59.5,0,0,0,0,0,0,0,,,
Okahandja,-21.98,16.92,,2022,88.8,102.2,28.2,0,0,0,0,0,0,9.4,17.5,16.1,
Ombakatjiwinde,-21.7,17.7,,2022,161,137,,,,,,,0,1.6,0,16.6,
Monteith,-21.12,17.7,,2022,170.5,131,,,,,,,,6.2,6.5,6,
Ondunduwazirapi,-21.66,17.82,,2022,43.5,146.5,105,0,0,0,0,0,0,30.5,7,62,
Steinhausen,-21.82,18.23,,2022,113,93,26.5,27.5,0,0,0,0,0,18.5,5,36.5,
Otjinene ADC,-21.14,18.79,1449,2022,187,,,,,,,,,,,,
Morewag ADC,-20.56,14.66,812,2022,52.5,8,4.9,0,0,0,0,0,0,0,0,0,
Sorris Sorris ADC,-20.95,14.83,559,2022,9.5,5.2,2.6,0,0,0,0,0,0,0,0,0,
Omatjete ADC,-21.05,15.51,1228,2022,68.1,228.2,92.2,9,0,0,0,0,0,0,16.4,3,
Etendero,-21.22,15.73,,2022,33,14,75,,,,,,,,,,
Omaruru ADC,-21.42,15.95,1219,2022,86.5,120,77.1,0,0,0,0,0,0,0,25.7,1,
Ombona,-21.04,16.22,,2022,133.1,84.9,71.9,30.6,0,0,0,0,0,20.8,13.3,0,
Otjikururume,-21.12,17.22,,2022,172.5,189,71.5,34,0,0,0,0,0,36,16,63,
Eureka,-21.2,17.82,,2022,126.3,102.4,60.8,13.3,0,0,0,0,0,43.5,12.9,71.8,
Kalidona,-21.28,18.07,,2022,,,,20.5,0,0,0,0,0,27.5,40,51,
Rodenbeck,-21.41,18.16,1586,2022,109.7,63.2,115.7,6.5,0,0,0,0,0,14.1,9,66.7,
Okondjatu ADC,-20.99,18.23,1427,2022,126.4,107.1,135.8,0.3,0,0,0,0,0,92.9,6.6,37.6,
Eiseb ADC,-20.61,20.85,1039,2022,126.2,51.1,176.7,0,0,0,0,0,,0,46,55.5,
Khorixas ADC,-20.38,14.97,963,2022,74.5,128.1,8.8,0,0,0,0,0,0,0,0,0,
Fransfontein ADC,-20.21,15.01,1081,2022,19.7,126,12.5,3.5,0,0,0,0,0,0,1.8,19,
Ronesterkop,-20.47,15.27,989,2022,,,,,,0,0,0,0,0.8,11.4,30.3,
Eastwood,-20.27,15.3,,2022,,,,,,0,0,0,0,0,19,8.5,
Outjo ADC,-20.11,16.15,1266,2022,68.1,133.6,76.5,35,0,0,0,0,0,0,26.5,48,
Eremutua (NE) 25,-20.88,15.85,,2022,77.5,100.5,92,2.5,0,0,0,0,0,,,,
Otjiwarongo ADC,-20.46,16.65,1468,2022,76.8,121,13,0,0,0,0,0,0,,,,
Okomumbonde LSR,-20.42,17.33,1460,2022,197,245,105.5,1.5,0,0,0,0,0,45.5,20,27.5,
La Paloma,-20.93,17.78,,2022,118.7,101,85.8,2,0,0,0,0,0,25.1,6,39.8,
Donkerwater,-20.96,17.82,,2022,107.8,123.9,86.7,6.5,0,0,0,0,0,48.3,22.6,35.8,
Okamatapati ADC,-20.41,18.22,1316,2022,60,90.5,62.5,0,0,0,0,0,0,21,,43,
Okatjimbe,-20.42,19.82,1178,2022,101.5,131,100,41,0,0,0,0,0,19,52,115.4,
Gam ADC,-20.25,20.83,1063,2022,57,0,0,0,0,0,0,0,0,0,10.4,4.6,
Erwee ADC,-19.69,14.32,1173,2022,21,47.9,36.5,20.8,0,0,0,0,0,0,0,0,
Anker ADC,-19.8,14.54,1020,2022,,,,,,0,0,0,0,0,0,0,
Kamanjab ADC,-19.63,14.85,1225,2022,7.5,117.2,69.6,0,0,0,0,0,0,11,0,30,
Otavi ADC,-19.64,17.35,1417,2022,185.6,88.7,72.8,38.7,0,0,0,0,0,45.7,39,25,
Grootfontein ADC,-19.56,18.11,1481,2022,88.5,71.1,185,0,0,0,0,0,0,,,,
Otjituuo ADC,-19.64,18.6,1209,2022,88,204,93,36,0,0,0,0,0,28,76.5,109,
Tsumkwe ADC,-19.6,20.5,1149,2022,20,62,154.5,94,0,0,0,0,0,26,68,63,
Sesfontein ADC,-19.12,13.62,574,2022,0,89,0,0,0,0,0,0,0,0,0,0,
Otjokavare ADC,-19.06,14.35,1199,2022,0,150,24,12,0,0,0,0,0,0,0,0,
Galton Gate,-19.31,14.48,1245,2022,98.9,165.1,125.3,0,0,0,0,0,0,0,0,0,
Otjitambi,-19.81,15.18,,2022,0,84,145,0,0,0,0,0,0,3.5,5.5,18,
Kombat Booster RG,-19.42,17.43,,2022,,,,,,,,,,26.4,84.8,106,
Friedrichsruhe,-19.16,17.85,,2022,310.8,198,,,,,,,,35,63.6,100.4,
Awagobibtal,-19.66,17.86,,2022,206,119.2,122,45.3,0,0,0,0,0,33,39,39,
Otjirukaku,-19.71,17.97,,2022,111,89,66,,,,,,,,,,
Grootfontein Town 91,-19.34,18.06,,2022,203,62.8,253.3,11.4,0,1.3,0,0,0,73.7,51.7,53.3,
Grootfontein_Manual,-19.59,18.14,,2022,182.4,70,147,14.4,,,,,,,,,
Berg Aukas RG,-19.31,18.15,,2022,,,,,,,,,,0,,,
Simondeum,-19.28,19.2,,2022,,48,150.1,12.5,0,0,0,0,0,49,,,
Mkata ADC,-19.5,19.63,1215,2022,83,159,180.5,0,0,0,0,0,0,72,83,40.5,
Oruvandjai ADC,-18.92,14.11,1084,2022,90,95.9,71.5,13.5,0,0,0,0,0,0,0,22,
Okaukuejo_Manual,-19.18,15.92,1102,2022,56.5,76.5,71.4,32.8,0,0,0,0,0,0.5,2,16.6,
Anderson Gate (Ombika),-19.33,15.94,1136,2022,54.7,100,60.6,22.9,0,0,0,0,0,16.3,22.3,9.5,
Halali,-19.04,16.47,,2022,83.6,166.2,98,15.6,0,0,0,0,0,14.8,14.4,34.9,
Soavis,-19.35,17.13,,2022,,59.8,128.3,13.6,,,,,,,,,
Huttenhof,-19.48,17.19,,2022,179,67,148.8,0,0,0,0,0,0,9.5,49,92,
Gaikos,-19.45,18.41,,2022,174.5,95,60,30,0,0,0,0,0,29,40,73,
Klein Huis,-19.4,18.61,,2022,57.5,106,65,8,0,0,0,0,0,15.5,30.5,77.5,
Wilde,-19.1,18.79,,2022,40,135,76.5,7,0,0,0,0,0,8,10,58,
Opuwo ADC,-18.06,13.84,,2022,0.3,133,53,24,0,0,0,0,0,0,0,0,
Omakange ADC,-18.12,14.32,1198,2022,6,53,84,31.2,0,0,0,0,0,0,0,0,
Onkani ADC,-18.17,15.44,1097,2022,46.4,81.4,50.5,26.5,0,0,0,0,0,0,24,11.6,
Onankali ADC,-18.19,16.38,1098,2022,107.9,90,148,14.8,0,0,0,0,0,0,0,35.1,
Namutoni,-18.81,16.94,,2022,114.8,116.1,107.1,19.8,0,0,0,0,0,4,78.3,58.7,
Onyuulaye ADC,-18.08,16.53,1101,2022,18,105,125,19,0,0,0,0,0,0,0,11,
Okashana ADC,-18.41,16.64,1099,2022,5,71.6,177.5,40,0,0,0,0,0,,,,
King Kauluma ADC,-18.49,17.06,1117,2022,136.2,133.7,111.7,56.3,0,0,0,0,0,13.9,43.9,50.3,
Okapya LDC,-18.47,17.34,1143,2022,205.1,90.1,270.9,21.9,0,0,0,0,0,31.4,4.5,72.3,
Choantsas,-18.86,18.13,,2022,286,91,41.5,16,0,0,0,0,0,23.1,56.5,61,
Mururani,-18.79,18.93,,2022,59.5,134.5,141,41.8,0,0,0,0,0,20,91.5,12.5,
Ncamagoro ADC,-18.2,19.48,1166,2022,243,78,62,27,0,0,0,0,0,0,46,31,
Ncaute ADC,-18.37,19.83,1099,2022,218.9,145,205.3,81.2,60,0,0,0,0,0,58,48.5,
Okahao ADC,-17.89,15.07,1109,2022,23.5,107,73,56,0,0,0,0,0,2,7,0,
Oshikuku ADC,-17.65,15.47,1105,2022,76.3,135.5,131,85.3,0,0,0,0,0,6,0,0,
Etanga ADC,-17.86,13.03,1180,2022,24.2,101,0,0,0,0,0,0,0,0,0,0,
Otjisoko-Tjongava ADC,-18.01,13.82,1072,2022,18.6,137.6,74.1,13,0,0,0,0,0,0,0,0,
Opuwo,-18.05,13.84,1165,2022,0,136,69.3,0,0,0,0,0,0,0,0,13,
Okaukamashe ADC,-17.9,15.56,1090,2022,26,93.5,64.8,68,0,0,0,0,0,56,0,12.3,
Uukwangula ADC,-17.79,15.61,1093,2022,24.8,67,38,62,0,0,0,0,0,2.9,7.8,22.5,
Okatyali ADC,-18.05,15.96,1096,2022,60,86.6,202,48,0,0,0,0,0,5,9,20,
Uukwiyu-Uushona ADC,-18.02,15.92,1094,2022,30,65.9,,0,0,0,0,0,0,,,,
Eheke ,-17.93,15.87,1091,2022,35,75.4,51.1,83.5,0,0,0,0,0,0,10.3,0,
Ongha ADC,-17.43,16.71,1097,2022,52,151,146,35.5,0,0,0,0,0,38,11,10,
Ondangwa DVS,-17.91,15.97,1104,2022,56.5,112,120.8,39,0,0,0,0,0,26,10.5,10.6,
Engombe ADC,-18.12,15.54,1088,2022,27,104.5,96,65,0,0,0,0,0,4,9,7,
Olukonda ADC,-18,16.02,1097,2022,53.8,128,167.6,53.1,0,0,0,0,0,0.5,5,9.3,
Ongula ya Netanga,-17.72,16.14,1102,2022,8.5,145.5,143.5,17,0,0,0,0,0,0.6,16,0,
Onayena ADC,-17.95,16.2,1094,2022,47.5,168,157,10,0,0,0,0,0,25,14,20.1,
Omuntele ADC,-18.24,16.24,1089,2022,85.7,79.7,208.5,75,0,0,0,0,0,0,27,0,
Epembe ADC,-17.79,16.46,1118,2022,90,295,243.9,0,0,0,0,0,0,0,7.3,20.8,
Omauni ADC,-17.54,17.72,1148,2022,117,118,252,0,0,0,0,0,0,35,14,84,
Rundu Airport_manual,-17.96,19.73,1103,2022,146,106.2,68,14.6,0,0,0,0,0,10.2,47.8,82,
Kaisosi ADC,-17.9,19.81,,2022,259,213.3,86,0,0,0,0,0,0,4.5,18,23.3,
Ndiyona ADC,-18.04,20.7,,2022,184.5,71.5,158.1,17.4,10,0,0,0,0,6,60.5,66.5,
Mukwe ADC,-18.04,21.43,,2022,219.5,65,220,2.5,0,0,0,0,0,5,92,106.5,
Onesi ADC,-17.59,14.68,1112,2022,52.5,83.6,100.1,27.7,0,0,0,0,0,0,16,15.4,
Tsandi ADC,-17.74,14.88,1110,2022,40.1,56.5,121,47.5,0,0,0,0,0,18,3,3,
Outapi ADC,-17.51,14.99,1115,2022,120,105.2,68.5,88.5,0,0,0,0,0,0,0,19.5,
Etayi ADC,-17.55,15.53,1101,2022,115,197.6,125.5,43,0,0,0,0,0,18,64.5,55.5,
Ompundja ADC,-17.91,15.7,1087,2022,,,,,0,0,0,0,0,,,,
